,name,text,url,follower_num
2042,Certified👠,@memphisbbq77 @nancyrowens So damn twisted. Obama and his black Muslim mess responsible for this crap.,https://pbs.twimg.com/profile_images/1790762252/IMG-20111219-00246_normal.jpg,23793
1109,Jim,12-26 #BorisJohnson blasts Barack Obama's 'exorbitant hypocrisy' #BorisJohnson https://t.co/nAFQrVBqk0,https://pbs.twimg.com/profile_images/521083017691815936/fOa2PKor_normal.jpeg,20465
1432,Jim Strickland,RT @thebradfordfile: Bill Clinton inserted a cigar into an intern in the Oval Office. Barack Obama spied on his political opponent. Trump t…,https://pbs.twimg.com/profile_images/916723149558906880/wInr59Vv_normal.jpg,20370
798,Ted Myers,RT @AmazngKindles Obama's policy in Syria. Read the post! ➡https://t.co/Scl9L9w7xC,https://pbs.twimg.com/profile_images/799723538533879813/A_Qc42Rz_normal.jpg,19217
452,MIKE J.,"RT @AMike4761: The leadership of the Obama/Comey-era FBI has been exposed as a cesspool of weaponized political bias.

Former Secret Servic…",https://pbs.twimg.com/profile_images/880755979343740928/Iv5Y7dF2_normal.jpg,18719
48,Keith🇺🇸🇮🇹💖😘🌈,"RT @tonyposnanski: Morning tweet predictions...

Barack Obama- Merry Christmas

Hillary Clinton- Merry Christmas

Justin Trudeau- Merry Chr…",https://pbs.twimg.com/profile_images/616376078093918208/6QzF6MlO_normal.jpg,17548
1438,Freedom_MAGA,"RT @gotspeed2burn: @XFactor10 @TerriBe59602687 @alkirtley @mikalmil22 @SteveDeaceShow @realDonaldTrump You're talking about Obama, right? B…",https://pbs.twimg.com/profile_images/805204274510708736/jgCMU3lk_normal.jpg,16850
1293,cassandracarolina,"RT @johnpavlovitz: .@realDonaldTrump,

He is better than you.

By every measurement human beings use.

https://t.co/248he97QRj https://t.co…",https://pbs.twimg.com/profile_images/693547418038747137/FS2kk231_normal.png,16378
715,Kirstie Clements,RT @Bencjacobs: Season 9 of The Crown is going to be something https://t.co/gQeEDw6jmG,https://pbs.twimg.com/profile_images/560580638160330752/eQB8k4Hz_normal.jpeg,16182
1627,Spring Bright,"RT @LiberalMmama: No one tell Donald-Thin-Skin how many more rts Pres Obama received this year for #Christmas
#ThanksObama https://t.co/2Vt…",https://pbs.twimg.com/profile_images/449803758730366976/df1RdfQ5_normal.jpeg,14691
776,Sharon Andreas,RT @dynamex: @mitchellvii obama sucked and still sucks,https://pbs.twimg.com/profile_images/785987288492670977/CvOf3NdG_normal.jpg,14578
1992,Laurel Catherine,RT @ftwr_news: @SkyrimSimmer @shelbiestrykers @BarackObama He’s 2/2 this holiday season. He hasn’t been with his family and it’s getting we…,https://pbs.twimg.com/profile_images/816045241866260484/29jVMdyt_normal.jpg,14220
508,Tea N. Cracka,RT @DineshDSouza: How Obama must be scowling as he sees his successor has made it acceptable—even cool—to dispense with Happy Holidays &amp; sa…,https://pbs.twimg.com/profile_images/825198428951031809/Eqv7tKlg_normal.jpg,14183
103,°Joe in Cebu°,"Which is exactly why hostile powers laughed at the impotent manchild in chief for 8 yrs.
That loser weakened us &amp; w… https://t.co/0aGHGjWTfL",https://pbs.twimg.com/profile_images/551451821051748352/rTX7JG3v_normal.jpeg,13460
1413,Carey Cameron 🇺🇸,"RT @covfefeartist: Under Bush &amp; Obama, the rich got richer and the poor got poorer with a rigged, crony capitalism system in place. Now, in…",https://pbs.twimg.com/profile_images/883701714444070912/wdE70T2e_normal.jpg,13205
1736,Rudy Ryan,Obama had the biggest impact on Americans in a bad horrible way. He was a disaster for Americans. Hope Trump can he… https://t.co/N2g3T56Me8,https://pbs.twimg.com/profile_images/463085054864814080/ym3-kiSt_normal.jpeg,13084
152,ptg,@luminousmax405 @RigdriverJerry @ShafPatel @realDonaldTrump No that mistake was under Obama! No decent president of… https://t.co/FpRWI5Rqkq,https://pbs.twimg.com/profile_images/789634889788325888/9Mev_X6q_normal.jpg,12796
1187,Belkiss Obadia,RT @_NotFakeNews_: God I miss this man...... https://t.co/J0wvckMjWQ,https://pbs.twimg.com/profile_images/884625752846716928/vVB2f74J_normal.jpg,12733
2038,Max MAGA Deploravsky,Merry Christmas #ChristmasDay2017 https://t.co/bxzVbtTOjA,https://pbs.twimg.com/profile_images/912749812927229952/Rppm3sod_normal.jpg,12540
139,Jonathan Jewel,"RT @LiberalMmama: No one tell Donald-Thin-Skin how many more rts Pres Obama received this year for #Christmas
#ThanksObama https://t.co/2Vt…",https://pbs.twimg.com/profile_images/931650919942389760/6YFO75pJ_normal.jpg,12385
807,BobMacAZ,"RT @iluvspringtime: Famous Actor Calls Out Obama:  ""He’s a Muslim."" https://t.co/SI9Fs3A7Ag",https://pbs.twimg.com/profile_images/2101135368/Bob_4_07_normal.JPG,11791
1798,Regi Lynch,RT @mitchellvii: Obama made a habit of saying incredibly stupid things beautifully.,https://pbs.twimg.com/profile_images/812127337491865600/I31JadQY_normal.jpg,11724
1685,🇺🇸RP🇺🇸,"RP:  ""If Obama asked me to mow his lawn, I'd shit on it."" https://t.co/tnMH837Ata",https://pbs.twimg.com/profile_images/932732676708106240/-hnUrHNs_normal.jpg,11607
1286,Mark Greer,They also use toilet paper for a napkin. #WipeTheSlate @RealJamesWoods https://t.co/6LXskFZ25f,https://pbs.twimg.com/profile_images/921199059603296261/tc_NIE7V_normal.jpg,11339
525,Tara_Ma*Tamara,"RT @johnpavlovitz: .@realDonaldTrump,

He is better than you.

By every measurement human beings use.

https://t.co/248he97QRj https://t.co…",https://pbs.twimg.com/profile_images/930856734318411776/_zWEvFWK_normal.jpg,11134
1038,Carja,@realDonaldTrump https://t.co/DOIY0j4bx5,https://pbs.twimg.com/profile_images/904923813862932482/l3XTzl3X_normal.jpg,11001
